dataset,pool type,pool size,pool stride,accuracy
mnist,max,2x2,1,0.9904
mnist,max,2x2,2,0.9852
mnist,max,2x2,3,0.973
mnist,max,2x2,4,0.9592
mnist,max,3x3,1,0.9852
mnist,max,3x3,2,0.9894
mnist,max,3x3,3,0.9813
mnist,max,3x3,4,0.9761
mnist,max,4x4,1,0.9899
mnist,max,4x4,2,0.9887
mnist,max,4x4,3,0.9818
mnist,max,4x4,4,0.9804
mnist,max,8x8,1,0.9791
mnist,max,8x8,2,0.9874
mnist,max,8x8,3,0.9826
mnist,max,8x8,4,0.9775
mnist,max,8x8,8,0.9511
mnist,max,14x14,1,0.9738
mnist,max,14x14,2,0.9818
mnist,max,14x14,3,0.9818
mnist,max,14x14,4,0.9721
mnist,max,14x14,14,0.9444
mnist,average,2x2,1,0.9857
mnist,average,2x2,2,0.9698
mnist,average,2x2,3,0.9518
mnist,average,2x2,4,0.8983
mnist,average,3x3,1,0.9829
mnist,average,3x3,2,0.9602
mnist,average,3x3,3,0.9417
mnist,average,3x3,4,0.8848
mnist,average,4x4,1,0.984
mnist,average,4x4,2,0.9452
mnist,average,4x4,3,0.9186
mnist,average,4x4,4,0.8289
mnist,average,8x8,1,0.9747
mnist,average,8x8,2,0.9135
mnist,average,8x8,3,0.8093
mnist,average,8x8,4,0.4436
mnist,average,8x8,8,0.2446
mnist,average,14x14,1,0.9604
mnist,average,14x14,2,0.8102
mnist,average,14x14,3,0.4793
mnist,average,14x14,4,0.3464
mnist,average,14x14,14,0.2638
